index	CSG	Method	Iterations	Runtime	Loss
1	1	L-BFGS-B	15	41.61559653	39.85100615
2	7	L-BFGS-B	16	54.50228906	42.21293027
3	9	L-BFGS-B	23	63.20315886	42.68172073
4	11	L-BFGS-B	20	40.75904274	63.4476222
5	21	L-BFGS-B	23	66.07951713	20.2832307
6	25	L-BFGS-B	15	50.61547065	56.19404346
7	27	L-BFGS-B	32	77.351717	30.79561919
8	33	L-BFGS-B	25	69.09210992	51.54202712
1	1	Nelder-Mead	202	70.79029918	48.86048391
2	7	Nelder-Mead	406	123.928972	42.16087796
3	9	Nelder-Mead	836	263.5556679	42.84050343
4	11	Nelder-Mead	446	143.7030244	63.44743699
5	21	Nelder-Mead	310	93.30085254	20.28249736
6	25	Nelder-Mead	451	140.6641712	56.19365337
7	27	Nelder-Mead	503	155.1431396	59.17588755
8	33	Nelder-Mead	525	161.0955234	51.54131949
1	1	CMA-ES	222	276.6730802	39.8509081
2	7	CMA-ES	160	200.0799677	42.16087796
3	9	CMA-ES	176	214.1309652	42.68120295
4	11	CMA-ES	202	250.5961292	63.44743699
5	21	CMA-ES	196	236.0206709	20.28249734
6	25	CMA-ES	186	239.5125382	56.19365336
7	27	CMA-ES	219	262.0640037	30.79520607
8	33	CMA-ES	281	353.8101718	63.43959755
